name,planet_status,mass,mass_error_min,mass_error_max,mass_sini,mass_sini_error_min,mass_sini_error_max,radius,radius_error_min,radius_error_max,orbital_period,orbital_period_error_min,orbital_period_error_max,semi_major_axis,semi_major_axis_error_min,semi_major_axis_error_max,eccentricity,eccentricity_error_min,eccentricity_error_max,inclination,inclination_error_min,inclination_error_max,angular_distance,discovered,updated,omega,omega_error_min,omega_error_max,tperi,tperi_error_min,tperi_error_max,tconj,tconj_error_min,tconj_error_max,tzero_tr,tzero_tr_error_min,tzero_tr_error_max,tzero_tr_sec,tzero_tr_sec_error_min,tzero_tr_sec_error_max,lambda_angle,lambda_angle_error_min,lambda_angle_error_max,impact_parameter,impact_parameter_error_min,impact_parameter_error_max,tzero_vr,tzero_vr_error_min,tzero_vr_error_max,k,k_error_min,k_error_max,temp_calculated,temp_calculated_error_min,temp_calculated_error_max,temp_measured,hot_point_lon,geometric_albedo,geometric_albedo_error_min,geometric_albedo_error_max,log_g,publication_status,detection_type,mass_detection_type,radius_detection_type,alternate_names,molecules,star_name,ra,dec,mag_v,mag_i,mag_j,mag_h,mag_k,star_distance,star_distance_error_min,star_distance_error_max,star_metallicity,star_metallicity_error_min,star_metallicity_error_max,star_mass,star_mass_error_min,star_mass_error_max,star_radius,star_radius_error_min,star_radius_error_max,star_sp_type,star_age,star_age_error_min,star_age_error_max,star_teff,star_teff_error_min,star_teff_error_max,star_detected_disc,star_magnetic_field,star_alternate_names
HD 96700 c,Confirmed,0.04,0.005,0.005,0.04,0.005,0.005,,,,103.49,0.5794,0.5794,0.422,0.0073,0.0073,0.37,0.19,0.19,,,,0.016484,2011,2011-09-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Submitted to a professional journal,Velocity,,,,,HD 96700,166.975,-30.1744444,6.5,,,,,25.6,0.3,0.3,,,,,,,,,,G0V,,,,,,,,,
HIP 12961 b,Confirmed,0.35,,,0.35,,,,,,57.435,0.042,0.042,0.13,,,0.16,0.03,0.03,,,,0.005652,2009,2011-11-23,272.0,13.0,13.0,2454428.4,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Velocity,,,,,HIP 12961,41.6791667,-23.0866667,10.31,,,,,23.0,0.9,0.9,-0.07,,,0.67,,,,,,M0V,,,,,,,,,
HIP 14810 b,Confirmed,3.88,0.32,0.32,3.88,0.32,0.32,,,,6.673855,1.9e-05,1.9e-05,0.0692,0.004,0.004,0.1427,0.00094,0.00094,,,,0.001308,2006,2013-05-20,159.32,0.38,0.38,3694.598,0.007,0.007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Velocity,,,,,HIP 14810,47.8083333,21.0972222,8.52,,,,,52.9,4.1,4.1,0.26,0.03,0.03,0.99,0.04,0.04,1.0,0.06,0.06,G5,,,,5485.0,44.0,44.0,,,
HIP 14810 c,Confirmed,1.28,0.1,0.1,1.28,0.1,0.1,,,,147.73,0.065,0.065,0.545,0.031,0.031,0.164,0.012,0.012,,,,0.010302,2006,2013-05-20,329.0,2.5,2.5,4672.24,0.0073,0.0073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Submitted to a professional journal,Velocity,,,,,HIP 14810,47.8083333,21.0972222,8.52,,,,,52.9,4.1,4.1,0.26,0.03,0.03,0.99,0.04,0.04,1.0,0.06,0.06,G5,,,,5485.0,44.0,44.0,,,
HIP 14810 d,Confirmed,0.57,0.052,0.052,0.57,0.052,0.052,,,,962.0,15.0,15.0,1.89,0.11,0.11,0.173,0.037,0.037,,,,0.035728,2009,2013-05-20,286.0,19.0,19.0,4317.198,0.0073,0.0073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Velocity,,,,,HIP 14810,47.8083333,21.0972222,8.52,,,,,52.9,4.1,4.1,0.26,0.03,0.03,0.99,0.04,0.04,1.0,0.06,0.06,G5,,,,5485.0,44.0,44.0,,,
HIP 5158 b,Confirmed,1.44,0.14,0.14,1.44,0.14,0.14,,,,345.63,1.99,1.99,0.89,0.01,0.01,0.54,0.04,0.04,,,,0.019778,2009,2011-05-06,70.0,4.0,4.0,54580.49,15.2,15.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Submitted to a professional journal,Velocity,,,,,HIP 5158,16.5083333,-22.4530556,10.21,,,,,45.0,4.0,4.0,0.1,0.07,0.07,0.78,0.021,0.021,,,,K5V,6.0,inf,nan,4962.0,89.0,89.0,,,
HIP 5158 c,Confirmed,15.04,10.55,10.55,15.04,10.55,10.55,,,,9018.0,3181.0,3181.0,7.7,1.88,1.88,0.14,0.1,0.1,,,,0.171111,2010,2011-05-06,142.0,75.0,75.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Velocity,,,,,HIP 5158,16.5083333,-22.4530556,10.21,,,,,45.0,4.0,4.0,0.1,0.07,0.07,0.78,0.021,0.021,,,,K5V,6.0,inf,nan,4962.0,89.0,89.0,,,
HIP 57050 b,Confirmed,0.298,0.025,0.025,0.298,0.025,0.025,,,,41.397,0.016,0.016,0.163506,4.2e-05,4.2e-05,0.314,0.086,0.086,,,,0.014864,2010,2010-04-27,238.1,23.2,23.2,,,,2455201.400239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Velocity,,,,,HIP 57050,175.4375,42.7519444,11.9,,,,,11.0,0.4,0.4,0.32,0.06,0.06,0.34,0.03,0.03,0.4,,,M4V,,,,3190.0,,,,,GJ 1148
HIP 57274 b,Confirmed,0.036,0.004,0.004,0.036,0.004,0.004,,,,8.1352,0.004,0.004,0.07,,,0.187,0.1,0.1,,,,0.002701,2011,2013-05-20,81.0,59.0,59.0,2454801.015,1.3,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Submitted to a professional journal,Velocity,,,,,HIP 57274,176.1708333,30.9591667,8.96,,,,,25.92,,,0.09,0.05,0.05,0.73,0.05,0.05,0.68,0.03,0.03,K5V,7.87,5.0,5.0,4640.0,100.0,100.0,,,
HIP 57274 c,Confirmed,0.41,0.01,0.01,0.41,0.01,0.01,,,,32.03,0.02,0.02,0.178,,,0.05,0.02,0.02,,,,0.006867,2011,2013-05-20,256.2,120.0,120.0,2455793.035,0.176,0.176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Submitted to a professional journal,Velocity,,,,,HIP 57274,176.1708333,30.9591667,8.96,,,,,25.92,,,0.09,0.05,0.05,0.73,0.05,0.05,0.68,0.03,0.03,K5V,7.87,5.0,5.0,4640.0,100.0,100.0,,,
HIP 57274 d,Confirmed,0.527,0.025,0.025,0.527,0.025,0.025,,,,431.7,8.5,8.5,1.01,,,0.27,0.05,0.05,,,,0.038966,2011,2013-05-20,187.2,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Submitted to a professional journal,Velocity,,,,,HIP 57274,176.1708333,30.9591667,8.96,,,,,25.92,,,0.09,0.05,0.05,0.73,0.05,0.05,0.68,0.03,0.03,K5V,7.87,5.0,5.0,4640.0,100.0,100.0,,,
HIP 70849 b,Confirmed,9.0,6.0,6.0,9.0,6.0,6.0,,,,10000.0,8000.0,8000.0,10.0,5.5,5.5,0.6,0.13,0.13,,,,0.416667,2009,2011-07-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Velocity,,,,,HIP 70849,217.3291667,-46.4638889,10.36,,,,,24.0,1.2,1.2,,,,0.63,0.03,0.03,,,,K7V,3.0,2.0,2.0,4105.0,130.0,130.0,,,
HIP 75458 b,Confirmed,9.39,1.29,11.9,8.82,0.72,0.72,,,,510.72,0.07,0.07,1.275,0.074,0.074,0.713,0.008,0.008,69.9,43.3,43.3,0.040476,2002,2016-01-26,92.5,0.7,0.7,2452015.36,0.16,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Velocity,,,,,HIP 75458,231.2291667,58.9658333,3.31,,,,,31.5,,,0.15,0.2,0.2,1.4,0.2,0.2,12.8,0.17,0.17,K2 III,,,,4445.0,45.0,45.0,,,
HIP 78530 b,Confirmed,23.04,4.0,4.0,,,,,,,,,,710.0,60.0,60.0,,,,,,,4.530951,2011,2011-01-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,,,HIP 78530,240.4791667,-21.9802778,7.18,,,,,156.7,13.0,13.0,,,,2.5,0.0,0.0,,,,B9V,0.011,0.002,0.002,10500.0,0.0,0.0,,,
HIP 79431 b,Confirmed,2.1,,,2.1,,,,,,111.7,0.7,0.7,0.36,,,0.29,,,,,,0.025,2010,2010-01-11,287.4,3.2,3.2,2454980.3,1.2,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Velocity,,,,,HIP 79431,243.175,-18.8755556,11.34,,,,,14.4,0.7,0.7,0.4,0.1,0.1,0.49,0.05,0.05,,,,M3V,,,,3191.0,100.0,100.0,,,
HN Peg b,Confirmed,16.0,9.4,9.4,,,,1.1,0.06,0.06,,,,795.0,15.0,15.0,,,,,,,43.206522,2007,2011-04-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,,,HN Peg,326.1291667,14.7719444,6.0,,,,,18.4,0.3,0.3,,,,1.0,,,,,,G0V,0.2,,,,,,,,
HR 810 b,Confirmed,2.26,0.18,0.18,2.26,0.18,0.18,,,,320.1,2.1,2.1,0.925,0.104,0.104,0.161,0.069,0.069,,,,0.053873,1999,2010-12-29,83.0,11.0,11.0,2450307.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Velocity,,,,,HR 810,40.6291667,-50.8033333,5.4,,,,,17.17,0.07,0.07,0.25,,,1.11,0.07,0.07,1.85,0.85,0.85,G0V pecul.,3.6,3.1,3.1,5997.0,,,,,
HR 8799 c,Confirmed,10.0,3.0,3.0,,,,1.3,0.0,0.0,82145.0,,,42.9,,,0.0,,,28.0,,,1.088832,2008,2013-08-30,,,,,,,,,,,,,,,,,,,,,,1936.7,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,,,HR 8799,346.8708333,21.1341667,5.96,,,,,39.4,1.0,1.0,-0.47,,,1.56,,,1.5,0.3,0.3,A5V,0.06,0.03,0.03,,,,Imaging,,HD 218396
HR 8799 d,Confirmed,10.0,3.0,3.0,,,,1.2,0.0,0.0,41054.0,,,27.0,,,0.1,,,28.0,,,0.685279,2008,2013-08-30,80.2,,,,,,,,,,,,,,,,,,,,,2003.7,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,,,HR 8799,346.8708333,21.1341667,5.96,,,,,39.4,1.0,1.0,-0.47,,,1.56,,,1.5,0.3,0.3,A5V,0.06,0.03,0.03,,,,Imaging,,HD 218396
HR 8799 e,Confirmed,9.0,4.0,4.0,,,,,,,18000.0,0.0,0.0,14.5,0.5,0.5,,,,,,,0.36802,2010,2013-08-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,,,HR 8799,346.8708333,21.1341667,5.96,,,,,39.4,1.0,1.0,-0.47,,,1.56,,,1.5,0.3,0.3,A5V,0.06,0.03,0.03,,,,Imaging,,HD 218396
HW Vir (AB) b,Confirmed,14.3,1.0,1.0,,,,,,,4640.0,73.0,73.0,4.69,0.06,0.06,0.4,0.1,0.1,,,,0.025912,2008,2012-06-15,342.0,10.0,10.0,2452410.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Pulsar,,,,,HW Vir (AB),191.0833333,-8.6713889,10.9,,,,,181.0,20.0,20.0,,,,0.627,0.013,0.013,,,,sdB+M,,,,,,,,,
KELT-2 A b,Confirmed,1.486,0.088,0.088,,,,1.306,0.067,0.067,4.1137914,1e-05,1e-05,0.05498,0.0004,0.0004,0.185,0.08,0.08,,,,0.000427,2012,2017-06-08,160.0,110.0,110.0,2455974.83,1.2,1.2,,,,2455974.60356,0.00084,0.00084,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Transit,,,,,KELT-2 A,92.6625,30.9572222,8.7,,,,,128.9,8.8,8.8,-0.015,0.071,0.071,1.31,0.03,0.03,1.842,0.071,0.071,F7V,,,,6148.0,49.0,49.0,,,
Kepler-10 b,Confirmed,0.0104772991851,0.00154170468489444,0.00154170468489444,,,,0.1314,0.0023,0.0023,0.83749026,2.9e-07,2.9e-07,0.01685,0.00013,0.00013,0.06,0.06,0.16,84.8,3.9,3.9,9.7e-05,2011,2015-11-25,,,,,,,,,,2455034.08687,0.00018,0.00018,,,,,,,,,,,,,,,,2169.0,,,,,0.58,0.25,0.23,,Published in a refereed paper,Transit,,,,,Kepler-10,285.6791667,50.2413889,11.16,,,,,173.0,27.0,27.0,-0.15,0.04,0.04,0.91,0.021,0.021,1.065,0.009,0.009,G,10.6,1.5,1.5,5708.0,28.0,28.0,,,
Kepler-10 c,Confirmed,0.0541183663676,0.00597923646649,0.00598311191399,0.0541169807759,0.00597803857408048,0.00597803857408048,0.2072,0.0025,0.0025,45.294301,4.8e-05,4.8e-05,0.241,0.0019,0.0019,0.05,0.05,0.2,89.59,0.43,0.25,0.001391,2011,2015-11-25,,,,,,,,,,2455062.26648,0.0081,0.0081,,,,,,,,,,,,,,,,584.0,,,,,,,,,Published in a refereed paper,Transit,Velocity,Transit,,,Kepler-10,285.6791667,50.2413889,11.16,,,,,173.0,27.0,27.0,-0.15,0.04,0.04,0.91,0.021,0.021,1.065,0.009,0.009,G,10.6,1.5,1.5,5708.0,28.0,28.0,,,
Kepler-17 b,Confirmed,2.45,0.014,0.014,,,,1.312,0.018,0.018,1.4857108,2e-07,2e-07,0.02591,0.00037,0.00037,0.011,inf,nan,87.2,0.15,0.15,3.2e-05,2011,2013-10-19,,,,,,,,,,2455185.67803,2.6e-05,2.6e-05,,,,,,,,,,,,,,,,1655.0,,,,,,,,,Published in a refereed paper,Transit,,,,,Kepler-17,298.3958333,47.815,14.0,,,,,800.0,100.0,100.0,0.26,0.1,0.1,1.16,0.06,0.06,1.05,0.03,0.03,G2V,1.78,inf,nan,5781.0,85.0,85.0,,,
Kepler-20 b,Confirmed,0.0305,0.00453,0.00444,,,,0.1667,0.003,0.0059,3.69611525,8.7e-07,1.15e-06,0.0463,0.0015,0.0009,0.03,0.03,0.09,87.355,1.594,0.215,0.000156,2011,2016-08-26,,,,,,,,,,2454967.50201,0.000217,0.000253,,,,,,,,,,,,,4.2,0.65,0.55,,,,,,,,,,Published in a refereed paper,Transit,Velocity,Transit,,,Kepler-20,287.7,42.3386111,12.5,,,,,290.0,30.0,30.0,0.02,0.04,0.04,0.912,0.035,0.035,0.944,0.095,0.095,G8,8.8,2.7,2.7,5466.0,93.0,93.0,,,
Kepler-20 c,Confirmed,0.04012,0.00705,0.00683,,,,0.2718,0.005,0.0057,10.85409089,2.6e-06,3.03e-06,0.0949,0.0023,0.0027,0.16,0.09,0.01,89.815,0.632,0.036,0.000321,2011,2016-08-26,,,,,,,,,,2454971.60795,0.000202,0.000248,,,,,,,,,,,,,3.84,0.63,0.67,,,,,,,,,,Published in a refereed paper,Transit,Velocity,Transit,,,Kepler-20,287.7,42.3386111,12.5,,,,,290.0,30.0,30.0,0.02,0.04,0.04,0.912,0.035,0.035,0.944,0.095,0.095,G8,8.8,2.7,2.7,5466.0,93.0,93.0,,,
Kepler-20 d,Confirmed,0.03168,0.0116,0.0125,,,,0.2448,0.0049,0.0065,77.61130017,0.00011588,0.00012305,0.3506,0.0101,0.0081,0.6,inf,nan,89.708,0.053,0.165,0.001191,2011,2016-08-26,,,,,,,,,,2454997.7303,0.001577,0.001179,,,,,,,,,,,,,1.57,0.57,0.62,,,,,,,,,,Published in a refereed paper,Transit,Velocity,Transit,,,Kepler-20,287.7,42.3386111,12.5,,,,,290.0,30.0,30.0,0.02,0.04,0.04,0.912,0.035,0.035,0.944,0.095,0.095,G8,8.8,2.7,2.7,5466.0,93.0,93.0,,,
Kepler-20 e,Confirmed,0.0097,inf,nan,,,,0.0772,0.0025,0.0023,6.09852281,1.351e-05,6.08e-06,0.0639,0.0014,0.0019,,,,87.632,0.128,1.085,0.000175,2011,2016-08-26,,,,,,,,,,2454968.93154,0.000732,0.002223,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Transit,Velocity,Transit,,,Kepler-20,287.7,42.3386111,12.5,,,,,290.0,30.0,30.0,0.02,0.04,0.04,0.912,0.035,0.035,0.944,0.095,0.095,G8,8.8,2.7,2.7,5466.0,93.0,93.0,,,
Kepler-20 f,Confirmed,0.045,,,,,,0.08948,0.0079,0.0045,19.57758478,0.00012256,9.037e-05,0.1396,0.0035,0.0036,,,,88.788,0.072,0.426,0.000379,2011,2016-08-26,,,,,,,,,,2454968.20706,0.004332,0.006076,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Transit,Velocity,Transit,,,Kepler-20,287.7,42.3386111,12.5,,,,,290.0,30.0,30.0,0.02,0.04,0.04,0.912,0.035,0.035,0.944,0.095,0.095,G8,8.8,2.7,2.7,5466.0,93.0,93.0,,,
Kepler-21 b,Confirmed,0.016,0.00541,0.00541,,,,0.1462,0.0013,0.0017,2.78578,3e-05,3e-05,0.0427172,3e-07,3e-07,0.02,0.02,0.1,83.2,0.26,0.28,0.000394,2011,2016-09-27,245.0,79.0,79.0,2456797.9,0.7,0.7,,,,2455093.83716,0.00085,0.00062,,,,,,,0.584,0.02,0.018,,,,1.99,0.65,0.65,2025.0,,,,,,,,,Announced on a professional conference,Transit,Velocity,Transit,,,Kepler-21,287.3625,38.7138889,8.27,,,,,108.0,19.0,19.0,-0.15,0.06,0.06,1.34,0.06,0.06,1.86,0.04,0.04,F6IV,2.84,0.35,0.35,6131.0,44.0,44.0,,,
Kepler-22 b,Confirmed,0.11,inf,nan,,,,0.21,0.012,0.012,289.8623,0.02,0.02,0.849,0.018,0.018,,,,89.764,0.042,0.042,0.004468,2011,2013-06-11,,,,,,,,,,2454966.6983,0.0023,0.0023,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Transit,,,,,Kepler-22,289.2166667,47.8844444,12.0,,,,,190.0,,,-0.29,0.06,0.06,0.97,0.06,0.06,0.979,0.02,0.02,G5,,,,5518.0,44.0,44.0,,,
Kepler-34 (AB)  b,Confirmed,0.219928892804,0.00997388541043954,0.0109807129597584,,,,0.763673411854,0.0133821275441655,0.0133821275441655,288.822,0.081,0.081,1.0896,0.0009,0.0009,0.182,0.02,0.02,90.355,0.018,0.018,0.000727,2012,2016-02-23,,,,,,,,,,2454969.2,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Transit,,,,,Kepler-34 (AB),296.4375,44.6416667,15.0,,,,,1499.0,33.0,33.0,-0.07,0.15,0.15,2.0687,0.0033,0.0033,1.1,0.0,0.0,G,,,,5913.0,130.0,130.0,,,
Kepler-35 (AB) b,Confirmed,0.126797344492,0.0199792341817953,0.0199792341817953,,,,0.727987738403,0.0133821275441655,0.0133821275441655,131.458,0.105,0.105,0.60347,0.00103,0.00103,0.042,0.004,0.004,90.76,0.09,0.09,0.000367,2012,2016-02-23,,,,,,,,,,2454965.85,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Transit,,,,,Kepler-35 (AB),294.4958333,46.69,16.0,,,,,1645.0,43.0,43.0,-0.34,0.2,0.2,1.6971,0.007,0.007,1.0,0.0,0.0,G,,,,5606.0,150.0,150.0,,,
Kepler-4 b,Confirmed,0.0824340056004782,0.0128055878928987,0.0128055878928987,,,,0.35685673451108,0.0187349785618317,0.0187349785618317,3.21346,0.00022,0.00022,0.0456,0.0009,0.0009,0.0,,,89.76,2.05,2.05,8.3e-05,2010,2013-11-05,,,,,,,,,,2454956.6127,0.0015,0.0015,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Transit,,,,,Kepler-4,285.6166667,50.1358333,12.7,,,,,550.0,80.0,80.0,0.17,0.06,0.06,1.223,0.091,0.091,1.487,0.084,0.084,G0,4.5,1.5,1.5,5857.0,120.0,120.0,,,
Kepler-40 b,Confirmed,2.2,0.4,0.4,,,,1.17,0.04,0.04,6.87349,0.00064,0.00064,0.08,0.003,0.003,0.0,,,89.7,0.1,0.1,3e-05,2010,2016-02-24,,,,,,,,,,2455005.5198,0.0024,0.0024,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Transit,,,KOI-428 b,,Kepler-40,296.8125,47.5266667,14.76,,,,,2700.0,200.0,200.0,0.1,0.1,0.1,1.48,0.06,0.06,2.13,0.06,0.06,F5IV,2.8,0.3,0.3,6510.0,100.0,100.0,,,
Kepler-41  b,Confirmed,0.49,0.09,0.09,,,,0.841,0.032,0.032,1.855558,7e-06,7e-06,0.029,0.001,0.001,0.0,,,88.3,0.7,0.7,4e-05,2011,2016-02-24,,,,,,,,,,2454970.1803,0.0003,0.0003,,,,,,,,,,,,,,,,1745.0,,,,,,,,,Published in a refereed paper,Transit,,,KOI-196 b,,Kepler-41,294.5125,45.9816667,14.5,,,,,730.0,70.0,70.0,-0.09,0.16,0.16,0.94,0.09,0.09,0.966,0.032,0.032,G2V,7.4,3.4,3.4,5660.0,100.0,100.0,,,
Kepler-42 b,Confirmed,0.009,inf,nan,,,,0.07,0.02,0.02,1.2137672,4.6e-06,4.6e-06,0.0116,,,,,,,,,0.0003,2012,2013-08-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Transit,,,,,Kepler-42,292.2208333,44.6194444,16.12,,,,,38.7,6.3,6.3,-0.48,0.17,0.17,0.13,0.05,0.05,0.17,0.05,0.05,,,,,3068.0,174.0,174.0,,,
Kepler-42 c,Confirmed,0.006,inf,nan,,,,0.065,0.018,0.018,0.45328509,9.7e-07,9.7e-07,0.006,,,,,,,,,0.000155,2012,2013-08-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Transit,,,,,Kepler-42,292.2208333,44.6194444,16.12,,,,,38.7,6.3,6.3,-0.48,0.17,0.17,0.13,0.05,0.05,0.17,0.05,0.05,,,,,3068.0,174.0,174.0,,,
Kepler-42 d,Confirmed,0.003,inf,nan,,,,0.051,0.016,0.016,1.856169,1.4e-05,1.4e-05,0.0154,,,,,,,,,0.000398,2012,2013-08-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Transit,,,,,Kepler-42,292.2208333,44.6194444,16.12,,,,,38.7,6.3,6.3,-0.48,0.17,0.17,0.13,0.05,0.05,0.17,0.05,0.05,,,,,3068.0,174.0,174.0,,,
Kepler-43 b,Confirmed,3.23,0.19,0.19,,,,1.2,0.06,0.06,3.024095,2.1e-05,2.1e-05,0.0449,0.001,0.001,0.025,inf,nan,84.35,0.4,0.4,2.3e-05,2011,2016-02-24,,,,,,,,,,2454965.4159,0.0006,0.0006,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Transit,,,KOI-135 b,,Kepler-43,285.2416667,46.6683333,14.0,,,,,1950.0,250.0,250.0,0.33,0.11,0.11,1.32,0.09,0.09,1.42,0.07,0.07,G0V/G0IV,2.8,0.8,1.0,6041.0,143.0,143.0,,,
Kepler-44 b,Confirmed,1.02,0.07,0.07,,,,1.24,0.07,0.07,3.24674,1.8e-05,1.8e-05,0.0455,0.0013,0.0013,0.021,inf,nan,83.78,0.55,0.55,2e-05,2011,2016-02-24,,,,,,,,,,2454966.3781,0.0004,0.0004,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Transit,,,KOI-204 b,,Kepler-44,300.1041667,45.7622222,15.0,,,,,2250.0,300.0,300.0,0.26,0.1,0.1,1.19,0.1,0.1,1.52,0.09,0.09,G2IV,6.95,1.7,1.7,5757.0,134.0,134.0,,,
Kepler-45 b,Confirmed,0.505,0.09,0.09,,,,0.96,0.11,0.11,2.455239,5e-06,5e-06,0.027,0.003,0.003,0.11,0.1,0.1,87.0,0.7,0.7,8.1e-05,2011,2016-02-24,230.0,68.0,68.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Submitted to a professional journal,Transit,,,KOI-254 b,,Kepler-45,292.875,41.0641667,16.88,,,,,333.0,33.0,33.0,0.08,0.05,0.05,0.59,0.06,0.06,0.55,0.11,0.11,M,,,,3820.0,90.0,90.0,,,
Kepler-46 b,Confirmed,0.885,0.343,0.374,,,,0.812,0.043,0.043,33.60134,0.00021,0.00021,0.1967,0.0029,0.0029,0.01,0.01,0.01,89.033,0.069,0.069,0.00023,2012,2017-04-06,,,,,,,,,,2455053.2826,0.0014,0.0014,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Transit,,,KOI-872 b,,Kepler-46,289.2708333,42.6041667,15.3,,,,,857.0,69.0,69.0,0.41,0.1,0.1,0.902,0.04,0.04,0.94,0.04,0.04,,9.9,3.1,3.1,5155.0,105.0,105.0,,,
Kepler-46 c,Confirmed,0.362,0.016,0.016,,,,,,,57.004,0.1,0.1,0.2799,0.0041,0.0041,0.0145,0.0039,0.0039,87.25,0.95,0.95,0.000327,2012,2017-04-06,329.4,11.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,TTV,TTV,,KOI-872 c,,Kepler-46,289.2708333,42.6041667,15.3,,,,,857.0,69.0,69.0,0.41,0.1,0.1,0.902,0.04,0.04,0.94,0.04,0.04,,9.9,3.1,3.1,5155.0,105.0,105.0,,,
Kepler-70  b,Confirmed,0.014,,,,,,0.068,,,0.2401,4e-06,4e-06,0.006,,,,,,,,,5e-06,2011,2016-02-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,KOI-55 b,,KOI-55,296.3541667,41.0927778,14.87,,,,,1180.0,95.0,95.0,,,,0.496,0.002,0.002,0.203,0.007,0.007,sdB,0.0184,0.001,0.001,27730.0,270.0,270.0,,,
Kepler-70 c,Confirmed,0.0021,,,,,,0.078,,,0.34289,1.3e-05,1.3e-05,0.0076,,,,,,,,,6e-06,2011,2016-02-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,KOI-55 c,,KOI-55,296.3541667,41.0927778,14.87,,,,,1180.0,95.0,95.0,,,,0.496,0.002,0.002,0.203,0.007,0.007,sdB,0.0184,0.001,0.001,27730.0,270.0,270.0,,,
Kepler-8 b,Confirmed,0.603,0.19,0.13,,,,1.419,0.058,0.058,3.52254,5e-05,5e-05,0.0483,0.0012,0.0012,0.0,,,84.07,0.33,0.33,3.6e-05,2010,2015-02-26,,,,,,,,,,2454954.1182,0.0004,0.0004,,,,,,,,,,,,,,,,1638.0,,,,,0.11,0.03,0.03,,Announced on a professional conference,Transit,,,,,Kepler-8,281.2875,42.4511111,13.9,,,,,1330.0,180.0,180.0,-0.055,0.03,0.03,1.213,0.063,0.063,1.486,0.062,0.062,,3.84,1.5,1.5,6213.0,150.0,150.0,,,
LKCA 15 b,Confirmed,6.0,1.0,1.0,,,,,,,40000.0,0.0,0.0,15.7,2.1,2.1,,,,,,,0.108276,2011,2015-09-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,,,LKCA 15,69.825,22.3508333,11.91,,,,,145.0,15.0,15.0,,,,0.97,0.03,0.03,,,,K5V,0.002,,,,,,,,
